iid (0),id (1),gender (2),idg (3),condtn (4),wave (5),round (6),position (7),order (8),partner (9),pid (10),samerace (11),age_o (12),race_o (13),pf_o_att (14),pf_o_sin (15),pf_o_int (16),pf_o_fun (17),pf_o_amb (18),pf_o_sha (19),dec_o (20),attr_o (21),sinc_o (22),intel_o (23),fun_o (24),like_o,age,field_cd,race,imprace,imprelig,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,dec,match
414,18,1,36,2,15,18,18,7,12,390,0,30,4,10,20,20,10,10,30,1,6,8,8,6,6,29,8,2,2,10,6,1,1,7,10,5,9,5,0,0,5,5,0,8,7,0,0,0,1,2,0,5,1,1
229,16,1,32,2,9,20,6,1,2,195,1,27,2,15.38,19.23,19.23,19.23,13.46,13.46,1,8,8,9,9,7,28,10,2,7,1,1,6,3,7,8,5,7,7,1,1,5,3,3,8,5,1,5,2,6,1,1,3,1,1
229,16,1,32,2,9,20,15,10,15,208,0,25,1,11.54,13.46,19.23,19.23,19.23,17.31,1,8,8,8,8,8,28,10,2,7,1,1,6,3,7,8,5,7,7,1,1,5,3,3,8,5,1,5,2,6,1,1,3,1,1
229,16,1,32,2,9,20,1,16,17,210,1,29,2,20,15.56,20,15.56,11.11,17.78,1,10,9,9,7,8,28,10,2,7,1,1,6,3,7,8,5,7,7,1,1,5,3,3,8,5,1,5,2,6,1,1,3,1,1
229,16,1,32,2,9,20,18,13,7,200,1,25,2,13.21,18.87,18.87,16.98,16.98,15.09,1,7,10,8,9,6,28,10,2,7,1,1,6,3,7,8,5,7,7,1,1,5,3,3,8,5,1,5,2,6,1,1,3,1,1
248,6,1,12,1,10,9,4,8,9,242,0,26,3,20,20,25,20,5,10,1,5,3,6,7,7,27,8,6,1,1,1,4,1,7,7,1,8,7,5,1,8,6,8,6,3,7,7,4,7,6,1,6,1,1
248,6,1,12,1,10,9,9,4,8,241,0,29,4,90,2,2,2,2,2,1,10,6,8,9,7,27,8,6,1,1,1,4,1,7,7,1,8,7,5,1,8,6,8,6,3,7,7,4,7,6,1,6,1,1
248,6,1,12,1,10,9,1,5,2,235,0,23,2,15,15,20,20,20,10,1,7,6,6,8,7,27,8,6,1,1,1,4,1,7,7,1,8,7,5,1,8,6,8,6,3,7,7,4,7,6,1,6,1,1
333,2,1,4,1,13,10,7,2,9,330,0,22,4,15,25,15,20,10,15,1,8,9,9,8,8.5,23,8,2,5,3,1,3,1,7,10,5,10,7,3,1,10,5,3,8,2,4,8,2,4,3,6,7,1,1
333,2,1,4,1,13,10,5,10,2,323,0,25,4,10,20,20,20,10,20,1,8,7,8,7,7,23,8,2,5,3,1,3,1,7,10,5,10,7,3,1,10,5,3,8,2,4,8,2,4,3,6,7,1,1
410,14,1,28,2,15,18,10,1,13,391,1,28,2,35,0,35,10,10,10,1,7,9,8,8,7,27,8,2,8,8,1,5,1,7,10,8,5,8,1,1,8,10,1,8,2,2,4,4,5,1,1,5,1,1
410,14,1,28,2,15,18,2,11,11,389,1,21,2,20,30,20,20,0,10,1,7,10,10,10,8,27,8,2,8,8,1,5,1,7,10,8,5,8,1,1,8,10,1,8,2,2,4,4,5,1,1,5,1,1
410,14,1,28,2,15,18,12,3,7,385,1,25,2,25,20,20,20,10,5,1,10,10,10,10,9,27,8,2,8,8,1,5,1,7,10,8,5,8,1,1,8,10,1,8,2,2,4,4,5,1,1,5,1,1
442,3,1,6,2,17,11,11,5,3,432,1,28,2,15,30,30,10,10,5,1,7,10,10,10,10,25,1,2,1,1,4,6,1,1,7,1,7,5,1,1,7,1,8,6,1,1,5,3,5,2,1,6,1,1
442,3,1,6,2,17,11,12,6,8,437,1,23,2,15,15,18,18,14,20,1,7,9,10,7,8,25,1,2,1,1,4,6,1,1,7,1,7,5,1,1,7,1,8,6,1,1,5,3,5,2,1,6,1,1
442,3,1,6,2,17,11,9,4,2,431,0,27,4,15,15,25,15,15,15,1,8,8,8,8,7,25,1,2,1,1,4,6,1,1,7,1,7,5,1,1,7,1,8,6,1,1,5,3,5,2,1,6,1,1
442,3,1,6,2,17,11,3,9,4,433,0,30,6,20,20,20,20,10,10,1,7,7,7,5,6,25,1,2,1,1,4,6,1,1,7,1,7,5,1,1,7,1,8,6,1,1,5,3,5,2,1,6,1,1
488,8,1,16,2,19,15,15,3,10,475,0,27,3,10,15,30,10,15,20,0,4,4,6,4,5,29,8,4,1,1,3,2,3,7,3,3,3,9,5,1,1,1,8,8,8,8,8,8,8,8,3,5,1,0
488,8,1,16,2,19,15,7,10,15,479,0,27,2,15,15,20,20,15,15,0,4,6,8,4,3,29,8,4,1,1,3,2,3,7,3,3,3,9,5,1,1,1,8,8,8,8,8,8,8,8,3,5,1,0
488,8,1,16,2,19,15,8,11,9,474,0,30,1,15,20,10,30,5,20,0,5,8,9,6,6,29,8,4,1,1,3,2,3,7,3,3,3,9,5,1,1,1,8,8,8,8,8,8,8,8,3,5,1,0
488,8,1,16,2,19,15,10,13,2,467,0,24,2,20,20,20,20,20,0,0,6,7,8,9,6,29,8,4,1,1,3,2,3,7,3,3,3,9,5,1,1,1,8,8,8,8,8,8,8,8,3,5,1,0
488,8,1,16,2,19,15,3,6,1,466,0,24,2,10,20,20,15,20,15,0,2,6,7,5,5,29,8,4,1,1,3,2,3,7,3,3,3,9,5,1,1,1,8,8,8,8,8,8,8,8,3,5,1,0
488,8,1,16,2,19,15,1,4,7,472,0,25,3,10,25,25,20,10,10,0,2,3,3,4,2,29,8,4,1,1,3,2,3,7,3,3,3,9,5,1,1,1,8,8,8,8,8,8,8,8,3,5,1,0
488,8,1,16,2,19,15,6,9,3,468,0,25,6,15,25,15,15,15,15,0,4,8,8,5,5,29,8,4,1,1,3,2,3,7,3,3,3,9,5,1,1,1,8,8,8,8,8,8,8,8,3,5,1,0
488,8,1,16,2,19,15,5,8,4,469,1,25,4,20,10,20,20,10,20,1,4,7,6,6,7,29,8,4,1,1,3,2,3,7,3,3,3,9,5,1,1,1,8,8,8,8,8,8,8,8,3,5,0,0
488,8,1,16,2,19,15,4,7,12,477,0,27,3,16,19,16,17,15,17,0,6,6,8,7,6,29,8,4,1,1,3,2,3,7,3,3,3,9,5,1,1,1,8,8,8,8,8,8,8,8,3,5,1,0
488,8,1,16,2,19,15,12,15,6,471,1,30,4,15,15,25,10,15,20,0,4,2,4,3,1,29,8,4,1,1,3,2,3,7,3,3,3,9,5,1,1,1,8,8,8,8,8,8,8,8,3,5,0,0
488,8,1,16,2,19,15,9,12,8,473,1,34,4,15,20,20,15,15,15,1,8,8,8,8,8,29,8,4,1,1,3,2,3,7,3,3,3,9,5,1,1,1,8,8,8,8,8,8,8,8,3,5,0,0
488,8,1,16,2,19,15,11,14,16,480,0,26,2,16,18,18,20,12,16,1,7,9,9,8,7,29,8,4,1,1,3,2,3,7,3,3,3,9,5,1,1,1,8,8,8,8,8,8,8,8,3,5,1,1
488,8,1,16,2,19,15,13,1,5,470,1,29,4,10,20,25,25,10,10,1,5,5,5,8,7,29,8,4,1,1,3,2,3,7,3,3,3,9,5,1,1,1,8,8,8,8,8,8,8,8,3,5,1,1
38,19,0,34,2,2,16,14,12,10,49,0,25,4,20,20,20,20,5,15,1,8,7,7,8,8,23,1,1,8,1,1,4,3,1,7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10,2,2,1,1
38,19,0,34,2,2,16,14,10,16,55,1,23,1,20,25,25,10,10,10,1,8,10,10,10,10,23,1,1,8,1,1,4,3,1,7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10,2,2,1,1
69,4,1,8,1,3,10,3,7,7,62,0,26,3,30,10,20,20,10,10,1,8,8,8,8,8,28,8,2,2,2,6,6,1,7,10,7,5,5,3,2,1,3,9,8,2,4,7,6,7,2,1,3,1,1
69,4,1,8,1,3,10,5,9,1,56,1,23,2,17,18,18,15,17,15,1,5,10,8,5,6,28,8,2,2,2,6,6,1,7,10,7,5,5,3,2,1,3,9,8,2,4,7,6,7,2,1,3,1,1
130,9,1,16,1,5,10,3,1,11,120,0,20,3,10,10,35,35,8,2,1,9,9,9,8,9,20,5,4,4,1,1,6,2,10,7,4,9,8,3,2,7,5,7,6,2,1,2,2,9,6,2,6,1,1
130,9,1,16,1,5,10,5,3,10,119,0,19,3,50,15,10,10,10,5,1,6,9,8,9,8,20,5,4,4,1,1,6,2,10,7,4,9,8,3,2,7,5,7,6,2,1,2,2,9,6,2,6,1,1
166,9,1,18,2,7,16,3,2,6,147,0,26,4,18,18,20,18,16,10,1,8,8,8,6,7,26,8,6,1,9,5,5,2,7,5,5,9,4,4,2,5,1,3,9,1,5,8,7,10,1,7,6,1,1
166,9,1,18,2,7,16,15,14,13,154,0,27,2,15.38,17.31,17.31,17.31,17.31,15.38,1,9,9,9,9,8,26,8,6,1,9,5,5,2,7,5,5,9,4,4,2,5,1,3,9,1,5,8,7,10,1,7,6,1,1
166,9,1,18,2,7,16,1,16,8,149,0,28,2,8.51,19.15,19.15,19.15,19.15,14.89,1,8,5,6,3,7,26,8,6,1,9,5,5,2,7,5,5,9,4,4,2,5,1,3,9,1,5,8,7,10,1,7,6,1,1
190,7,1,14,1,8,10,9,4,6,179,0,30,3,19.15,21.28,17.02,17.02,12.77,12.77,1,7,6,7,7,7,25,13,2,1,1,2,7,3,9,7,7,8,3,2,2,6,5,9,8,2,4,7,9,10,3,1,8,1,1
190,7,1,14,1,8,10,10,5,2,175,0,23,6,12.24,20.41,16.33,14.29,20.41,16.33,1,7,8,7,7,7,25,13,2,1,1,2,7,3,9,7,7,8,3,2,2,6,5,9,8,2,4,7,9,10,3,1,8,1,1
190,7,1,14,1,8,10,5,10,8,181,0,22,1,15.38,19.23,19.23,17.31,17.31,11.54,1,5,5,6,10,4,25,13,2,1,1,2,7,3,9,7,7,8,3,2,2,6,5,9,8,2,4,7,9,10,3,1,8,1,1
192,9,1,18,1,8,10,2,4,7,180,0,24,4,15.38,17.31,17.31,19.23,13.46,17.31,1,9,8,8,9,8,24,8,2,2,7,1,6,2,7,7,5,7,7,3,2,6,8,7,9,6,3,6,7,8,4,5,4,1,1
287,15,1,30,2,11,21,21,9,16,267,1,26,4,20,30,10,15,10,15,0,3,7,7,4,5,22,13,4,1,1,1,7,3,6,2,1,5,7,2,2,9,6,4,10,8,8,10,8,8,8,8,8,1,0
287,15,1,30,2,11,21,9,18,17,268,0,24,3,30,20,20,10,15,5,0,5,5,6,4,4,22,13,4,1,1,1,7,3,6,2,1,5,7,2,2,9,6,4,10,8,8,10,8,8,8,8,8,1,0
287,15,1,30,2,11,21,6,15,21,272,0,25,2,25,20,25,25,5,0,0,2,2,6,5,3,22,13,4,1,1,1,7,3,6,2,1,5,7,2,2,9,6,4,10,8,8,10,8,8,8,8,8,1,0
287,15,1,30,2,11,21,15,3,13,264,0,26,2,15,15,25,20,5,20,0,2,3,6,4,3,22,13,4,1,1,1,7,3,6,2,1,5,7,2,2,9,6,4,10,8,8,10,8,8,8,8,8,1,0
287,15,1,30,2,11,21,20,8,18,269,0,24,2,20,10,30,15,15,10,0,6,8,8,8,5,22,13,4,1,1,1,7,3,6,2,1,5,7,2,2,9,6,4,10,8,8,10,8,8,8,8,8,1,0
287,15,1,30,2,11,21,8,17,9,260,1,27,4,19,20,19,14,13,15,0,5,6,6,7,6,22,13,4,1,1,1,7,3,6,2,1,5,7,2,2,9,6,4,10,8,8,10,8,8,8,8,8,1,0
287,15,1,30,2,11,21,16,4,20,271,0,23,2,10,15,40,15,10,10,0,4,4,4,4,3,22,13,4,1,1,1,7,3,6,2,1,5,7,2,2,9,6,4,10,8,8,10,8,8,8,8,8,1,0
287,15,1,30,2,11,21,19,7,14,265,0,32,2,15,5,45,10,15,10,0,6,8,9,5,9,22,13,4,1,1,1,7,3,6,2,1,5,7,2,2,9,6,4,10,8,8,10,8,8,8,8,8,1,0
287,15,1,30,2,11,21,12,21,3,254,0,22,2,25,7,25,25,8,10,0,5,6,6,3,3,22,13,4,1,1,1,7,3,6,2,1,5,7,2,2,9,6,4,10,8,8,10,8,8,8,8,8,1,0
287,15,1,30,2,11,21,2,11,19,270,1,23,4,16,16,19,17,14,18,0,4,6,5,5,5,22,13,4,1,1,1,7,3,6,2,1,5,7,2,2,9,6,4,10,8,8,10,8,8,8,8,8,1,0
287,15,1,30,2,11,21,10,19,15,266,0,28,2,25,20,20,25,0,10,0,2,2,7,0,1,22,13,4,1,1,1,7,3,6,2,1,5,7,2,2,9,6,4,10,8,8,10,8,8,8,8,8,1,0
287,15,1,30,2,11,21,18,6,1,252,0,28,3,0,25,25,25,25,0,0,1,2,3,1,1,22,13,4,1,1,1,7,3,6,2,1,5,7,2,2,9,6,4,10,8,8,10,8,8,8,8,8,1,0
287,15,1,30,2,11,21,11,20,6,257,0,24,2,22,14,30,10,14,10,0,3,4,6,3,3,22,13,4,1,1,1,7,3,6,2,1,5,7,2,2,9,6,4,10,8,8,10,8,8,8,8,8,1,0
287,15,1,30,2,11,21,17,5,11,262,0,29,2,10,40,20,20,0,10,0,6,7,8,6,6,22,13,4,1,1,1,7,3,6,2,1,5,7,2,2,9,6,4,10,8,8,10,8,8,8,8,8,1,0
287,15,1,30,2,11,21,7,16,5,256,1,24,4,15,25,20,20,10,10,0,7,4,5,3,3,22,13,4,1,1,1,7,3,6,2,1,5,7,2,2,9,6,4,10,8,8,10,8,8,8,8,8,1,0
287,15,1,30,2,11,21,4,13,2,253,1,33,4,25,30,10,10,5,20,0,5,5,6,5,5,22,13,4,1,1,1,7,3,6,2,1,5,7,2,2,9,6,4,10,8,8,10,8,8,8,8,8,0,0
287,15,1,30,2,11,21,1,10,8,259,0,25,2,15,18,19,19,17,12,0,6,6,7,4,5,22,13,4,1,1,1,7,3,6,2,1,5,7,2,2,9,6,4,10,8,8,10,8,8,8,8,8,0,0
287,15,1,30,2,11,21,13,1,4,255,1,26,4,16.67,16.67,16.67,16.67,16.67,16.67,0,5,5,5,5,5,22,13,4,1,1,1,7,3,6,2,1,5,7,2,2,9,6,4,10,8,8,10,8,8,8,8,8,1,0
287,15,1,30,2,11,21,3,12,10,261,1,26,4,15,20,20,20,15,10,0,6,4,6,5,3,22,13,4,1,1,1,7,3,6,2,1,5,7,2,2,9,6,4,10,8,8,10,8,8,8,8,8,0,0
359,19,0,37,2,14,18,15,3,6,366,1,27,2,14,18,17,16,15,20,1,7,7,8,8,7,26,6,2,1,5,2,6,3,9,2,1,1,7,2,2,6,8,1,10,3,7,8,8,8,1,4,2,1,1
359,19,0,37,2,14,18,15,5,2,362,1,30,2,20.51,14.53,24.79,17.09,5.98,17.09,1,7,8,8,7,7,26,6,2,1,5,2,6,3,9,2,1,1,7,2,2,6,8,1,10,3,7,8,8,8,1,4,2,1,1
359,19,0,37,2,14,18,15,16,9,369,1,25,2,17,18,28,27,5,5,1,10,9,10,8,9,26,6,2,1,5,2,6,3,9,2,1,1,7,2,2,6,8,1,10,3,7,8,8,8,1,4,2,1,1
430,1,0,1,2,17,14,8,3,2,441,0,24,2,35,10,25,20,5,5,1,7,9,9,8,9,22,9,4,3,10,1,6,2,2,10,10,10,6,3,2,4,2,4,4,8,9,9,8,8,5,4,5,0,0
430,1,0,1,2,17,14,8,5,7,446,0,28,3,30,20,25,15,10,0,1,7,8,8,8,7,22,9,4,3,10,1,6,2,2,10,10,10,6,3,2,4,2,4,4,8,9,9,8,8,5,4,5,0,0
430,1,0,1,2,17,14,8,9,14,453,1,27,4,30,30,30,5,0,5,0,5,4,5,5,5,22,9,4,3,10,1,6,2,2,10,10,10,6,3,2,4,2,4,4,8,9,9,8,8,5,4,5,0,0
430,1,0,1,2,17,14,8,14,13,452,1,29,4,35,30,25,5,0,5,1,6,8,7,6,6,22,9,4,3,10,1,6,2,2,10,10,10,6,3,2,4,2,4,4,8,9,9,8,8,5,4,5,0,0
430,1,0,1,2,17,14,8,6,1,440,0,21,2,35,5,30,20,5,5,0,5,8,7,7,8,22,9,4,3,10,1,6,2,2,10,10,10,6,3,2,4,2,4,4,8,9,9,8,8,5,4,5,0,0
430,1,0,1,2,17,14,8,1,10,449,0,23,6,55,2,1,40,1,1,1,10,7,8,7,7,22,9,4,3,10,1,6,2,2,10,10,10,6,3,2,4,2,4,4,8,9,9,8,8,5,4,5,0,0
430,1,0,1,2,17,14,8,10,12,451,1,30,4,20,40,5,20,5,10,1,6,5,5,5,6,22,9,4,3,10,1,6,2,2,10,10,10,6,3,2,4,2,4,4,8,9,9,8,8,5,4,5,0,0
430,1,0,1,2,17,14,8,2,9,448,0,22,2,25,15,25,25,5,5,1,8,8,8,6,8,22,9,4,3,10,1,6,2,2,10,10,10,6,3,2,4,2,4,4,8,9,9,8,8,5,4,5,0,0
430,1,0,1,2,17,14,8,8,8,447,1,26,4,15,30,25,20,0,10,0,5,7,7,5,5,22,9,4,3,10,1,6,2,2,10,10,10,6,3,2,4,2,4,4,8,9,9,8,8,5,4,5,0,0
430,1,0,1,2,17,14,8,11,6,445,0,30,2,40,12,18,12,6,12,0,6,6,3,3,3,22,9,4,3,10,1,6,2,2,10,10,10,6,3,2,4,2,4,4,8,9,9,8,8,5,4,5,0,0
430,1,0,1,2,17,14,8,13,4,443,0,27,3,30,25,10,20,0,15,1,6,7,7,7,6,22,9,4,3,10,1,6,2,2,10,10,10,6,3,2,4,2,4,4,8,9,9,8,8,5,4,5,0,0
430,1,0,1,2,17,14,8,4,3,442,0,25,2,40,10,0,45,0,5,1,5,7,3,3,6,22,9,4,3,10,1,6,2,2,10,10,10,6,3,2,4,2,4,4,8,9,9,8,8,5,4,5,0,0
430,1,0,1,2,17,14,8,7,11,450,0,25,2,50,5,5,5,5,30,1,7,7,7,7,8,22,9,4,3,10,1,6,2,2,10,10,10,6,3,2,4,2,4,4,8,9,9,8,8,5,4,5,0,0
430,1,0,1,2,17,14,8,12,5,444,0,26,2,50,10,10,30,0,0,0,3,8,7,6,4,22,9,4,3,10,1,6,2,2,10,10,10,6,3,2,4,2,4,4,8,9,9,8,8,5,4,5,0,0
447,8,1,16,2,17,11,4,3,5,434,0,27,2,30,15,15,30,0,10,1,10,10,10,10,10,26,13,4,1,1,1,7,2,7,7,5,6,8,3,2,6,2,5,6,3,4,8,4,9,2,4,3,1,1
548,18,1,36,2,21,22,9,1,12,520,0,28,6,25,15,25,15,10,10,0,7,7,7,5,6,30,8,2,8,8,1,6,1,7,10,8,4,10,3,2,2,5,1,9,6,4,6,7,10,4,1,7,0,0
548,18,1,36,2,21,22,3,17,21,529,0,22,4,10,25,25,10,10,20,1,6,7,7,5,7,30,8,2,8,8,1,6,1,7,10,8,4,10,3,2,2,5,1,9,6,4,6,7,10,4,1,7,0,0
548,18,1,36,2,21,22,2,16,22,530,0,22,4,20,20,10,15,5,30,0,7,7,8,6,7,30,8,2,8,8,1,6,1,7,10,8,4,10,3,2,2,5,1,9,6,4,6,7,10,4,1,7,0,0
548,18,1,36,2,21,22,12,4,2,510,0,26,3,25,25,25,12,3,10,0,8,8,7,5,6,30,8,2,8,8,1,6,1,7,10,8,4,10,3,2,2,5,1,9,6,4,6,7,10,4,1,7,1,0
548,18,1,36,2,21,22,4,18,14,522,1,22,2,10,20,15,20,15,20,0,5,6,5,4,2,30,8,2,8,8,1,6,1,7,10,8,4,10,3,2,2,5,1,9,6,4,6,7,10,4,1,7,0,0
548,18,1,36,2,21,22,5,19,15,523,0,27,4,10,25,20,20,5,20,1,7,5,7,7,2,30,8,2,8,8,1,6,1,7,10,8,4,10,3,2,2,5,1,9,6,4,6,7,10,4,1,7,0,0
548,18,1,36,2,21,22,10,2,7,515,1,23,2,20,20,20,15,10,15,0,6,6,6,6,8,30,8,2,8,8,1,6,1,7,10,8,4,10,3,2,2,5,1,9,6,4,6,7,10,4,1,7,0,0
548,18,1,36,2,21,22,1,15,9,517,0,30,3,15,20,20,20,5,10,1,7,4,6,5,4,30,8,2,8,8,1,6,1,7,10,8,4,10,3,2,2,5,1,9,6,4,6,7,10,4,1,7,0,0
548,18,1,36,2,21,22,13,5,19,527,0,24,6,50,20,10,5,10,5,0,7,5,8,6,5,30,8,2,8,8,1,6,1,7,10,8,4,10,3,2,2,5,1,9,6,4,6,7,10,4,1,7,0,0
548,18,1,36,2,21,22,20,12,11,519,1,26,2,40,5,30,15,5,5,0,6,7,8,5,6,30,8,2,8,8,1,6,1,7,10,8,4,10,3,2,2,5,1,9,6,4,6,7,10,4,1,7,0,0
548,18,1,36,2,21,22,18,10,8,516,0,27,4,58,5,8,10,7,12,0,6,8,8,7,6,30,8,2,8,8,1,6,1,7,10,8,4,10,3,2,2,5,1,9,6,4,6,7,10,4,1,7,1,0
548,18,1,36,2,21,22,14,6,18,526,0,26,3,10,10,30,20,10,15,1,10,5,7,5,4,30,8,2,8,8,1,6,1,7,10,8,4,10,3,2,2,5,1,9,6,4,6,7,10,4,1,7,0,0
548,18,1,36,2,21,22,17,9,17,525,1,24,2,10,15,30,20,15,10,0,8,7,7,6,6,30,8,2,8,8,1,6,1,7,10,8,4,10,3,2,2,5,1,9,6,4,6,7,10,4,1,7,0,0
548,18,1,36,2,21,22,22,14,5,513,1,23,2,20,20,20,20,5,15,0,5,3,4,6,5,30,8,2,8,8,1,6,1,7,10,8,4,10,3,2,2,5,1,9,6,4,6,7,10,4,1,7,1,0
548,18,1,36,2,21,22,16,8,6,514,1,23,2,20,20,20,15,5,20,1,8,7,7,6,8,30,8,2,8,8,1,6,1,7,10,8,4,10,3,2,2,5,1,9,6,4,6,7,10,4,1,7,0,0
548,18,1,36,2,21,22,15,7,3,511,0,23,4,20,10,10,30,15,15,1,5,3,5,5,4,30,8,2,8,8,1,6,1,7,10,8,4,10,3,2,2,5,1,9,6,4,6,7,10,4,1,7,1,1
548,18,1,36,2,21,22,8,22,13,521,1,26,2,10,30,20,15,15,10,1,9,7,8,9,8,30,8,2,8,8,1,6,1,7,10,8,4,10,3,2,2,5,1,9,6,4,6,7,10,4,1,7,1,1
548,18,1,36,2,21,22,11,3,16,524,0,25,4,15,20,25,20,10,10,1,8,6,7,7,6,30,8,2,8,8,1,6,1,7,10,8,4,10,3,2,2,5,1,9,6,4,6,7,10,4,1,7,1,1
548,18,1,36,2,21,22,6,20,10,518,1,23,2,20,25,25,30,5,5,1,9,7,8,6,7,30,8,2,8,8,1,6,1,7,10,8,4,10,3,2,2,5,1,9,6,4,6,7,10,4,1,7,1,1
548,18,1,36,2,21,22,21,13,1,509,0,28,4,10,20,30,10,10,20,1,8,5,8,6,5,30,8,2,8,8,1,6,1,7,10,8,4,10,3,2,2,5,1,9,6,4,6,7,10,4,1,7,1,1
14,4,1,8,1,1,10,3,1,2,2,1,24,2,45,5,25,20,0,5,1,7,9,7,6,7,23,1,2,1,1,2,4,1,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,1,1
14,4,1,8,1,1,10,5,3,7,7,0,22,4,15,15,25,20,15,10,1,7,8,8,7,8,23,1,2,1,1,2,4,1,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,1,1
14,4,1,8,1,1,10,7,5,1,1,0,21,4,15,20,20,15,15,15,1,7,6,8,7,7,23,1,2,1,1,2,4,1,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,1,1
14,4,1,8,1,1,10,10,8,8,8,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,8,6,5,6,5,23,1,2,1,1,2,4,1,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,1,1
14,4,1,8,1,1,10,8,6,6,6,0,23,4,10,25,20,25,5,15,1,8,6,7,8,9,23,1,2,1,1,2,4,1,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,1,1
14,4,1,8,1,1,10,1,9,9,9,0,26,6,20,10,20,30,10,10,1,10,9,8,8,7,23,1,2,1,1,2,4,1,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,1,1
